MID,DISCIPLINE,EIN,CO_LOC_RES,NTEEC,DUNS,NAICS,COMMONNAME,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,IRS_NAME15,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,IRS_ZIP15,RULEDATE15,IPEDS,INSTNAME,INSTCITY,INSTST,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4,FIPSST,FIPSCO,GSTREET,GCITY,GSTATE,GZIP,GZIP5,BMF15_F,IRS990_F,IMLSAD_F,PFND_F,FCT3P_F,USER_F,UNI_F,OTHER_F,SOURCE
8400100021,GMU, , , , , ,OLD DEPOT MUSEUM,OLD DEPOT MUSEUM, , ,4 MARTIN LUTHER KING ST,SELMA,AL,36703,36703, , , , , ,3348742197, , , , , , , , , , , , , , , ,-87.01422,32.40885,3,5,3,01,047,4 MARTIN LUTHER KING ST,SELMA,AL,36703,36703,0,0,0,0,1,0,0,0, 
8400100023,GMU, , , ,940028319, ,PHOENIX FIRE MUSEUM,PHOENIX FIRE MUSEUM, , ,203 S CLAIBORNE ST,MOBILE,AL,36602,36602, , , , , ,2512087569, , , , , , , , , , , , , , , ,-88.04333,30.68707,3,5,1,01,097,203 S CLAIBORNE ST,MOBILE,AL,36602,36602,0,0,0,0,1,0,0,0, 
8400100025,GMU, , , ,806597261, ,RIVER HERITAGE MUSEUM,RIVER HERITAGE MUSEUM, , ,3 LOCK & DAM RD,FRANKLIN,AL,36444,36444, , , , , ,2512824206, , , , , , , , , , , , , , , ,-87.45344,31.66616,3,5,4,01, ,3 LOCK & DAM RD,FRANKLIN,AL,36444,36444,0,0,0,0,1,0,0,0, 
8400100027,GMU, , , ,018436326, ,MUSEUM OF URBAN ART,MUSEUM OF URBAN ART, , ,1527 5TH AVE N,BIRMINGHAM,AL,35203,35203, , , , , ,2058218119, , , , , , , , , , , , , , , ,-86.81473,33.51487,3,5,1,01,073,1527 5TH AVE N,BIRMINGHAM,AL,35203,35203,0,0,0,0,1,0,0,0, 
8400100032,GMU, , , ,021677833, ,NATIONAL AFRICAN-AMERICAN ARCHIVES AND MUSEUM,NATIONAL AFRICAN-AMERICAN ARCHIVES AND MUSEUM, , ,564 DR MARTIN LUTHER KING JR AVE,MOBILE,AL,36603,36603, , , , , ,2514338511, , , , , , , , , , , , , , , ,-88.05651,30.69693,3,5,1,01,097,564 DR MARTIN LUTHER KING JR AVE,MOBILE,AL,36603,36603,0,0,1,0,0,0,0,0, 
8400100033,GMU,631102879, ,A55,360733732,712110,NATIONAL MARITIME MUSEUM,NATIONAL MARITIME MUSEUM OF THE GULF OF MEXICO, , ,250 N WATER ST,MOBILE,AL,36602,36602,250 N WATER ST STE 131,MOBILE,AL,36602,36602,2514368901, ,NATIONAL MARITIME MUSEUM OF THE GULF OF MEXICO,201312,7,8621580,1120580,PO BOX 3005,MOBILE,AL,36652-3005,199402, , , , ,-88.04092,30.69698,3,5,1,01,097,250 N WATER ST STE 131,MOBILE,AL,36602,36602,1,0,0,0,1,0,0,0, 
8400100034,GMU, , , ,140001020, ,MANN WILDLIFE LEARNING MUSEUM,MANN WILDLIFE LEARNING MUSEUM, , ,325 E VANDIVER BLVD,MONTGOMERY,AL,36110,36110, , , , , ,3342404900,HTTP://WWW.MONTGOMERYZOO.COM, , , , , , , , , , , , , , ,-86.27993,32.41765,3,5,1,01,101,325 E VANDIVER BLVD,MONTGOMERY,AL,36110,36110,0,0,0,0,1,0,0,0, 
8400100038,GMU, , , , , ,JESSE OWENS MEMORIAL MUSEUM,JESSE OWENS MEMORIAL MUSEUM, , ,7010 COUNTY ROAD 203,DANVILLE,AL,35619,35619, , , , , ,2569743636, , , , , , , , , , , , , , , ,-87.17013,34.43882,3,5,4,01,079,7010 COUNTY ROAD 203,DANVILLE,AL,35619,35619,0,0,0,0,1,0,0,0, 
8400100039,GMU, , , , , ,JEMISON CARNEGIE HERITAGE HALL,JEMISON CARNEGIE HERITAGE HALL, , ,200 SOUTH ST E,TALLADEGA,AL,35160,35160, , , , , ,2567611364,HTTP://WWW.HERITAGEHALLMUSEUM.ORG, , , , , , , , , , , , , , ,-86.10316,33.43245,3,5,3,01,121,200 SOUTH ST E,TALLADEGA,AL,35160,35160,0,0,0,0,1,0,0,0, 
8400100041,GMU, , , , , ,JULE COLLINS SMITH MUSEUM,JULE COLLINS SMITH MUSEUM, , ,901 S COLLEGE ST,AUBURN,AL,36830,36830, , , , , ,3348441484,HTTP://JCSM.AUBURN.EDU/, , , , , , , , , , , , , , ,-85.48474,32.5888,3,5,1,01,081,901 S COLLEGE ST,AUBURN,AL,36830,36830,0,0,0,0,1,0,0,0, 
8400100043,GMU,570886830, ,A50,044770639,712110,JOHN W INZER MUSEUM,JOHN W INZER MUSEUM INC,JOHN W. INZER MUSEUM  INC., ,229 5TH STREET,ASHVILLE,AL,35953,35953, , , , , ,2053382412, ,JOHN W INZER MUSEUM INC,201409,0,0,0,PO BOX 702,ASHVILLE,AL,35953-0702,198906, , , , ,-86.23727,33.81868,3,5,4,01,115,PO BOX 702,ASHVILLE,AL,35953-0702,35953,1,0,1,0,0,0,0,0, 
8400100044,GMU, , , , , ,INTERNATIONAL MOTORSPORTS HALL OF FAME,INTERNATIONAL MOTORSPORTS HALL OF FAME, , ,3198 SPEEDWAY BLVD,LINCOLN,AL,35096,35096, , , , , ,2563625002,HTTP://WWW.MOTORSPORTSHALLOFFAME.COM/?HOMEPAGE=TRUE, , , , , , , , , , , , , , ,-86.07354,33.58,3,5,4,01,121,3198 SPEEDWAY BLVD,LINCOLN,AL,35096,35096,0,0,0,0,1,0,0,0, 
8400100047,GMU, , , ,031696037, ,GULF SHORES MUSEUM,GULF SHORES MUSEUM, , ,244 W 19TH AVE,GULF SHORES,AL,36542,36542,244 W 19TH AVE,GULF SHORES,AL,36542,36542,2519681473,HTTP://WWW.GULFSHORESAL.GOV/INDEX.ASPX?NID=356, , , , , , , , , , , , , , ,-87.69586,30.27485,3,5,3,01,003,244 W 19TH AVE,GULF SHORES,AL,36542,36542,0,0,0,0,1,0,0,0, 
8400100048,GMU, , , ,621169957, ,GEORGE P MANN WILDLIFE AND LEARNING MUSEUM,GEORGE P MANN OUTDOORS IN, , ,3161 SOCIETY HILL RD,OPELIKA,AL,36804,36804, , , , , ,3347417776, , , , , , , , , , , , , , , ,-85.39071,32.61295,3,5,1,01,081,3161 SOCIETY HILL RD,OPELIKA,AL,36804,36804,0,0,0,0,1,0,0,0, 
8400100049,GMU, , , ,620527981, ,GREENE MUSEUM,GREENE MUSEUM, , ,500 14TH ST,PHENIX CITY,AL,36867,36867, , , , , ,3342985413, , , , , , , , , , , , , , , ,-85.00075,32.47478,3,5,2,01,113,500 14TH ST,PHENIX CITY,AL,36867,36867,0,0,0,0,1,0,0,0, 
8400100050,GMU, , , , , ,FOLEY MUSEUM AND ARCHIVES,FOLEY MUSEUM AND ARCHIVES, , ,125 E LAUREL AVE,FOLEY,AL,36535,36535, , , , , ,2519431818,HTTP://WWW.FOLEYRAILROADMUSEUM.COM, , , , , , , , , , , , , , ,-87.68294,30.40641,3,5,3,01,003,125 E LAUREL AVE,FOLEY,AL,36535,36535,0,0,0,0,1,0,0,0, 
8400100051,GMU,721381517, ,A50,017577391,710000,GUNTERSVILLE MUSEUM AND CULTURAL CENTER,GUNTERSVILLE MUSEUM & CULTURAL CENTER ASSOCIATION, , ,1215 RAYBURN AVE,GUNTERSVILLE,AL,35976,35976, , , , , ,2565717597,HTTP://WWW.GUNTERSVILLEMUSEUM.ORG,GUNTERSVILLE MUSEUM & CULTURAL CENTER ASSOCIATION,201312,3,38330,38330,1215 RAYBURN AVE,GUNTERSVILLE,AL,35976-1432,199912, , , , ,-86.3036,34.34911,3,5,3,01,095,1215 RAYBURN AVE,GUNTERSVILLE,AL,35976-1432,35976,1,0,0,0,1,0,0,0, 
8400100053,GMU, , , , , ,FITZGERALD AND FITZGERALD MUSEUM,FITZGERALD AND FITZGERALD MUSEUM, , ,919 FELDER AVE,MONTGOMERY,AL,36106,36106, , , , , ,3342644222, , , , , , , , , , , , , , , ,-86.29266,32.35837,3,5,1,01,101,919 FELDER AVE,MONTGOMERY,AL,36106,36106,0,0,0,0,1,0,0,0, 
8400100054,GMU, , , , , ,GAINESWOOD,GAINESWOOD, , ,805 S CEDAR AVE,DEMOPOLIS,AL,36732,36732, , , , , ,3342894846, , , , , , , , , , , , , , , ,-87.83547,32.50857,3,5,3,01,091,805 S CEDAR AVE,DEMOPOLIS,AL,36732,36732,0,0,1,0,0,0,0,0, 
8400100055,GMU, , , , , ,W.C. HANDY HOUSE MUSEUM,HANDY W C MUSEUM, , ,620 W COLLEGE ST,FLORENCE,AL,35630,35630, , , , , ,2567606434, , , , , , , , , , , , , , , ,-87.68318,34.79602,3,5,1,01,077,620 W COLLEGE ST,FLORENCE,AL,35630,35630,0,0,0,0,1,0,0,0, 
8400100059,GMU, , , , , ,DISCOVERY 2000,DISCOVERY 2000, , ,200 19TH STREET NORTH,BIRMINGHAM,AL,35203-3117,35203, , , , , ,2055582003, , , , , , , , , , , , , , , ,-86.80816,33.51539,3,5,1,01,073,200 19TH STREET NORTH,BIRMINGHAM,AL,35203-3117,35203,0,0,1,0,0,0,0,0, 
8400100060,GMU,421604918, , ,166164504, ,CLAY HOUSE MUSEUM,CLAY HOUSE MUSEUM, , ,16 MAIN ST,MADISON,AL,35758,35758, , , , , ,2563251018, , , , , , , , , , , , , , , ,-86.74973,34.69313,3,5,2,01,089,16 MAIN ST,MADISON,AL,35758,35758,0,0,0,0,1,0,0,0, 
8400100061,GMU, , , , , ,EDITH NEWMAN CULVER MEMORIAL MUSEUM,EDITH NEWMAN CULVER MEMORIAL MUSEUM, ,EDITH NEWMAN CULVER MEML MSM,501 MAIN ST,WATERLOO,AL,35677,35677, , , , , ,2567676081,HTTP://WWW.MUSEUMSUSA.ORG/MUSEUMS/INFO/1154245, , , , , , , , , , , , , , ,-88.0635,34.914,3,5,4,01,077,501 MAIN ST,WATERLOO,AL,35677,35677,0,0,0,0,1,0,0,0, 
8400100062,GMU,631277848, ,A11, ,813219,DAPHNE MUSEUM,FRIENDS OF THE OLD METHODIST CHURCH MUSEUM OF DAPHNE INC, , ,405 DRYER AVE,DAPHNE,AL,36526,36526, , , , , ,2516219620,HTTP://WWW.DAPHNEMUSEUMALABAMA.ORG/,FRIENDS OF THE OLD METHODIST CHURCH MUSEUM OF DAPHNE INC,201412,0,0,0,PO BOX 847,DAPHNE,AL,36526-0847,200205, , , , ,-87.87618,30.62109,3,5,1,01,003,PO BOX 847,DAPHNE,AL,36526-0847,36526,1,0,0,0,1,0,0,0, 
8400100063,GMU, , , , , ,DEXTER AVENUE KING MEMORIAL FOUNDATION,DEXTER AVENUE KING MEMORIAL FOUNDATION, , ,315 S JACKSON ST,MONTGOMERY,AL,36104,36104, , , , , ,3342613270, , , , , , , , , , , , , , , ,-86.29625,32.37289,3,5,1,01,101,315 S JACKSON ST,MONTGOMERY,AL,36104,36104,0,0,0,0,1,0,0,0, 
8400100068,GMU, , , ,956572036, ,CULLMAN COUNTY MUSEUM,CULLMAN COUNTY MUSEUM, , ,211 2ND AVE NE,CULLMAN,AL,35055,35055, , , , , ,8005331258,HTTP://CULLMANCOUNTYMUSEUM.COM/, , , , , , , , , , , , , , ,-86.84284,34.17922,3,5,3,01,043,211 2ND AVE NE,CULLMAN,AL,35055,35055,0,0,0,0,1,0,0,0, 
8400100072,GMU, , , , , ,DON KRESGE MEMORIAL MUSEUM,DON KRESGE MEMORIAL MUSEUM, , ,600 18TH ST N,BIRMINGHAM,AL,35203,35203, , , , , ,2058226759,HTTP://WWW.ALABAMAHISTORICALRADIOSOCIETY.ORG, , , , , , , , , , , , , , ,-86.81185,33.51784,3,5,1,01,073,600 18TH ST N,BIRMINGHAM,AL,35203,35203,0,0,0,0,1,0,0,0, 
8400100076,GMU,630869280, ,A50, ,712110,DEPOT MUSEUM,FORT PAYNE DEPOT MUSEUM INC, , ,N 5TH ST,FORT PAYNE,AL,35967,35967,105 5TH STREET NORTHEAST,FORT PAYNE,AL,35967,35967,2568455714,HTTP://WWW.FORTPAYNEDEPOTMUSEUM.COM/,FORT PAYNE DEPOT MUSEUM INC,201409,3,41388,41388,PO BOX 681420,FORT PAYNE,AL,35968-1615,198501, , , , ,-85.71449,34.43922,3,5,4,01,049,105 5TH STREET NORTHEAST,FORT PAYNE,AL,35967,35967,1,0,1,0,0,0,0,0, 
8400100078,GMU,861068765, ,B84, ,813410,CENTRAL CARVER LEGACY MUSEUM,CENTRAL-CARVER FOUNDATION INC, , ,1030 TUSCALOOSA AVE,GADSDEN,AL,35901,35901, , , , , ,2565494742,HTTP://WWW.CENTRALCARVER.ORG/,CENTRAL-CARVER FOUNDATION INC,201312,1,1018,1018,PO BOX 8563,GADSDEN,AL,35902-8563,200609, , , , ,-85.95643,34.00027,3,5,1,01,055,PO BOX 8563,GADSDEN,AL,35902-8563,35902,1,0,0,0,1,0,0,0, 
8400100088,GMU,631082554, , ,877055624,712110,BERMAN MUSEUM OF WORLD HISTORY,FARLEY L BERMAN FOUNDATION INC, , ,840 MUSEUM DR,ANNISTON,AL,36202,36202, , , , , ,2562376766,HTTP://WWW.BERMANMUSEUM.ORG,FARLEY L BERMAN FOUNDATION INC,201409,4,150662,143128,PO BOX 2245,ANNISTON,AL,36202-2245,199309, , , , ,-85.82646,33.65842,3,5,1,01,015,PO BOX 2245,ANNISTON,AL,36202-2245,36202,1,0,1,0,0,0,0,0, 
8400100098,GMU,201689780, ,N99, ,712110,CALHOUN COUNTY SPORTS HALL OF FAME,CALHOUN COUNTY SPORTS HALL OF FAME, , ,PO BOX 729,JACKSONVILLE,AL,36265-0729,36265, , , , , , ,HTTP://WWW.CCSHOF.COM/,CALHOUN COUNTY SPORTS HALL OF FAME,201112,3,28050,28050,PO BOX 729,JACKSONVILLE,AL,36265-0729,200501, , , , ,-85.78071,33.82798,3,5,4,01,015,PO BOX 729,JACKSONVILLE,AL,36265-0729,36265,1,1,0,0,0,0,0,0, 
8400100113,GMU,205655870, ,A50, ,712110,ALABAMA NEGRO LEAGUE BASEBALL MUSEUM FOUNDATION,ALABAMA NEGRO LEAGUE BASEBALLMUSEUM FOUNDATION, , ,PO BOX 12524,BIRMINGHAM,AL,35202-6524,35202, , , , , , , ,ALABAMA NEGRO LEAGUE BASEBALLMUSEUM FOUNDATION,201412,0,0,0,PO BOX 12524,BIRMINGHAM,AL,35202-6524,200712, , , , ,-86.80581,33.51634,3,5,1,01,073,PO BOX 12524,BIRMINGHAM,AL,35202-6524,35202,1,1,0,0,0,0,0,0, 
8400100120,GMU,237013282, ,A50,153828327,712110,ALABAMA SPORTS HALL OF FAME,ALABAMA SPORTS HALL OF FAME, , ,2150 ARRINGTON BLVD N,BIRMINGHAM,AL,35203-1102,35203, , , , , ,2053236665,HTTP://ASHOF.ORG,ALABAMA SPORTS HALL OF FAME,201409,5,586834,488198,2150 RICHARD ARRINGTON J,BIRMINGHAM,AL,35203-1102,196904, , , , ,-86.81047,33.52522,3,5,1,01,073,2150 RICHARD ARRINGTON J,BIRMINGHAM,AL,35203-1102,35203,1,1,0,0,1,0,0,0, 
8400100126,GMU,237106142, , , , ,CRADLE OF THE CONFEDERACY RAILROAD MUSEUM OF MONTGOMERY,CRADLE OF THE CONFEDERACY RAILROAD MUSEUM OF MONTGOMERY, , ,BOX 1851,MONTGOMERY,AL,36106,36106, , , , , , , , , , , , , , , , , , , , , ,-86.31101,32.37375,3,5,1,01,101,BOX 1851,MONTGOMERY,AL,36106,36106,0,1,0,0,0,0,0,0, 
8400100146,GMU,262621160, ,A50, ,712110,MARENGO COUNTY SPORTS HALL OF FAME,MARENGO COUNTY SPORTS HALL OF FAME INC, , ,PO BOX 784,DEMOPOLIS,AL,36732-0784,36732, , , , , , , ,MARENGO COUNTY SPORTS HALL OF FAME INC,201412,0,0,0,PO BOX 784,DEMOPOLIS,AL,36732-0784,200903, , , , ,-87.84868,32.49096,3,5,4,01,091,PO BOX 784,DEMOPOLIS,AL,36732-0784,36732,1,1,0,0,0,0,0,0, 
8400100147,GMU,262628601, ,A11, ,712110,MONROE COUNTY HERITAGE MUSEUM ENDOWMENT,MONROE COUNTY HERITAGE MUSEUM ENDOWMENT INC, , ,31 N ALABAMA AVE,MONROEVILLE,AL,36460,36460, , , , , ,2515757433,HTTP://WWW.TOKILLAMOCKINGBIRD.COM,MONROE COUNTY HERITAGE MUSEUM ENDOWMENT INC,201212,0,0,0,31 N ALABAMA AVE,MONROEVILLE,AL,36460-1818,200903, , , , ,-87.32765,31.51158,3,5,3,01,099,31 N ALABAMA AVE,MONROEVILLE,AL,36460-1818,36460,1,1,0,0,1,0,0,0, 
8400100150,GMU,263196982, ,A50, ,712110,BAYBEARS CHARITIES,BAYBEARS CHARITIES INC, , ,755 BOLLING BROTHERS BLVD,MOBILE,AL,36606-2505,36606, , , , , , , ,BAYBEARS CHARITIES INC,201312,2,21702,13548,755 BOLLING BROTHERS BLV,MOBILE,AL,36606-2505,200904, , , , ,-88.11585,30.64483,3,5,1,01,097,755 BOLLING BROTHERS BLV,MOBILE,AL,36606-2505,36606,1,1,0,0,0,0,0,0, 
8400100163,GMU,271720928, ,A50, ,813219,AFRICAN AMERICAN HERITAGE TRAIL,FRIENDS OF AFRICAN AMERICAN HERITAGE TRAIL INC, , ,PO BOX 1827,MOBILE,AL,36633-1827,36633,204 SOUTH LAWRENCE ST,MOBILE,AL,36633-1827,36633,2515332174,HTTP://MVAFRICANAMERICANHERITAGETRAIL.ORG/,FRIENDS OF AFRICAN AMERICAN HERITAGE TRAIL INC,201312,0,0,0,PO BOX 40926,MOBILE,AL,36640-0926,201011, , , , ,-88.04614,30.68582,3,5,1,01,097,204 SOUTH LAWRENCE ST,MOBILE,AL,36633-1827,36633,1,1,0,0,0,0,0,0, 
8400100176,GMU,300120729, , , , ,DEKALB COUNTY HOSIERY MUSEUM,DEKALB COUNTY HOSIERY MUSEUM, , ,PO BOX 680647,FT PAYNE,AL,35968,35968, , , , , , , , , , , , , , , , , , , , , ,-85.76825,34.47746,3,5,4,01,049,PO BOX 680647,FT PAYNE,AL,35968,35968,0,1,0,0,0,0,0,0, 
8400100177,GMU,300579538, ,A50, ,712110,FLOMATON AREA RAILROAD MUSEUM,FLOMATON AREA RAIL ROAD MUSEUM, , ,PO BOX 225,FLOMATON,AL,36441-0225,36441,702 SYDNEY E MANNING BLVD,FLOMATON,AL,36441-0225,36441,2512961110,HTTP://WWW.FLOMATON.COM/,FLOMATON AREA RAIL ROAD MUSEUM,201409,0,0,0,PO BOX 225,FLOMATON,AL,36441-0225,201001, , , , ,-87.24941,31.026,3,5,4,01, ,702 SYDNEY E MANNING BLVD,FLOMATON,AL,36441-0225,36441,1,1,0,0,0,0,0,0, 
8400100194,GMU,412131470, ,A50, ,712110,BIRMINGHAM BLACK RADIO MUSEUM,BIRMINGHAM BLACK RADIO MUSEUM, , ,1623 12TH STREET SOUTH,BIRMINGHAM,AL,35205-5901,35205, , , , , , , ,BIRMINGHAM BLACK RADIO MUSEUM,201412,0,0,0,1623 12TH ST S,BIRMINGHAM,AL,35205-5901,200406, , , , ,-86.80692,33.49047,3,5,1,01,073,1623 12TH ST S,BIRMINGHAM,AL,35205-5901,35205,1,1,0,0,0,0,0,0, 
8400100200,GMU,452440701, ,A50, ,712110,COST OF FREEDOM VETERANS MUSEUM,COST OF FREEDOM VETERANS MUSEUM, , ,PO BOX 813,ARAB,AL,35016-0813,35016,135 MAIN STREET,ARAB,AL,35016-0813,35016,2564982499,HTTP://WWW.COSTOFFREEDOMVETERANSMUSEUM.COM/,COST OF FREEDOM VETERANS MUSEUM,201412,0,0,0,PO BOX 813,ARAB,AL,35016-0813,201209, , , , ,-86.49575,34.316,3,5,3,01,095,135 MAIN STREET,ARAB,AL,35016-0813,35016,1,1,0,0,0,0,0,0, 
8400100201,GMU,452905587, ,A11, ,813219,BLACK BELT MUSEUM,FRIENDS OF THE@BLACK BELT MUSEUM, , ,UWA STATION 45,LIVINGSTON,AL,35470,35470, , , , , ,2056523828,HTTP://WWW.BLACKBELTMUSEUM.ORG/,FRIENDS OF THE@BLACK BELT MUSEUM,201412,0,0,0,PO BOX 198,EPES,AL,35460-0198,201202, , , , ,-88.1937,32.73363,3,5,4,01,119,PO BOX 198,EPES,AL,35460-0198,35460,1,1,0,0,0,0,0,0, 
8400100257,GMU,630694971, ,A11, ,813219,MUSEUM OF THE CITY OF MOBILE,FRIENDS OF THE MUSEUM OF THE CITY OF MOBILE, , ,10 WISTERIA AVENUE,MOBILE,AL,36607,36607,111 SOUTH ROYAL STREET,MOBILE,AL,36607,36607,2512087569, ,FRIENDS OF THE MUSEUM OF THE CITY OF MOBILE,201412,0,0,0,10 WISTERIA AVE,MOBILE,AL,36607-3102,198105, , , , ,-88.04008,30.69015,3,5,1,01,097,111 SOUTH ROYAL STREET,MOBILE,AL,36607,36607,1,1,0,0,0,0,0,0, 
