MID,DISCIPL,EIN,CO_LOC_RES,NTEEC,DUNS,NAICS,COMMONNAME,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,IRS_NAME15,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,IRS_ZIP15,RULEDATE15,IPEDS,INSTNAME,INSTCITY,INSTST,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4,FIPSST,FIPSCO,GSTREET,GCITY,GSTATE,GZIP,GZIP5,BMF15_F,IMLSAD_F,PFND_F,FCT3P_F,USER_F,UNI_F,OTHER_F,SOURCE
8400100095,ART,201162009, ,A51, ,712110,BARE HANDS GALLERY,BARE HANDS GALLERY INC, , ,PO BOX 13961,BIRMINGHAM,AL,35202-3941,35202, , , , , , ,HTTP://WWW.BAREHANDSINC.ORG/,BARE HANDS GALLERY INC,201312,3,54487,54487,PO BOX 13961,BIRMINGHAM,AL,35202-3941,200505, , , , ,-86.80581,33.51634,3,5,1,01,073,PO BOX 13961,BIRMINGHAM,AL,35202-3941,35202,1,0,0,0,0,0,0, 
8400100096,BOT,201422131,ESTATE,A11,077906741,813219,BELLINGRATH GARDENS AND HOME,BELLINGRATH GARDENS AND HOME FOUNDATION INC, , ,12401 BELLINGRATH GARDENS RD,THEODORE,AL,36582-8460,36582, , , , , ,2519732217,HTTP://WWW.BELLINGRATH.ORG,BELLINGRATH GARDENS AND HOME FOUNDATION INC,201409,6,3110338,2733087,12401 BELLINGRATH GARDEN,THEODORE,AL,36582-8460,200501, , , , ,-88.15263,30.4637,3,5,4,01,097,12401 BELLINGRATH GARDEN,THEODORE,AL,36582-8460,36582,1,0,1,0,0,0,0, 
8400100105,SCI,203193651, ,A57, ,712110,RED BAY MUSEUM,RED BAY MUSEUM, , ,400 4TH ST SW,RED BAY,AL,35582-4051,35582, , , , , , , ,RED BAY MUSEUM,201312,0,0,0,400 4TH ST SW,RED BAY,AL,35582-4051,200901, , , , ,-88.14745,34.44257,3,5,4,01,059,400 4TH ST SW,RED BAY,AL,35582-4051,35582,1,0,0,0,0,0,0, 
8400100119,HST,237004506, ,A54, ,712110,PIONEER MUSEUM OF ALABAMA,PIONEER MUSEUM OF ALABAMA ASSN, , ,248 HIGHWAY 231 N,TROY,AL,36081-2459,36081, , , , , ,3345663597,HTTP://WWW.PIONEER-MUSEUM.ORG,PIONEER MUSEUM OF ALABAMA ASSN,201309,4,103113,98710,248 HIGHWAY 231 N,TROY,AL,36081-2459,196902, , , , ,-85.99719,31.85412,3,5,3,01,109,248 HIGHWAY 231 N,TROY,AL,36081-2459,36081,1,0,0,1,0,0,0, 
8400100124,ART,237077565, ,A51,801772869,712110,BIRMINGHAM MUSEUM OF ART,BIRMINGHAM MUSEUM OF ART MEMBERS,BIRMINGHAM MUSEUM OF ART MEMBERS, ,2000 8TH AVENUE NORTH,BIRMINGHAM,AL,35203-2205,35203, , , , , ,2052542565,HTTP://WWW.ARTSBMA.ORG/,BIRMINGHAM MUSEUM OF ART MEMBERS,201406,3,25404,25404,2000 8TH AVENUE NORTH,BIRMINGHAM,AL,35203-2205,197012, , , , ,-86.80939,33.52206,3,5,1,01,073,2000 8TH AVENUE NORTH,BIRMINGHAM,AL,35203-2205,35203,1,0,1,1,0,0,0, 
8400100127,HST,237113175, ,A54,171671076,712110,BESSEMER HALL OF HISTORY,BESSEMER HALL OF HISTORY INC, , ,1905 ALABAMA AVE,BESSEMER,AL,35020-5009,35020, , , , , ,2054261633,HTTP://WWW.BESSEMERHALLOFHISTORY.ORG,BESSEMER HALL OF HISTORY INC,201312,1,9281,8783,1905 ALABAMA AVE,BESSEMER,AL,35020-5009,197106, , , , ,-86.95051,33.40094,3,5,2,01,073,1905 ALABAMA AVE,BESSEMER,AL,35020-5009,35020,1,0,0,1,0,0,0, 
8400100140,HST,261445870, ,A54, ,712110,BLUE AND GREY MUSEUM OF NORTH ALABAMA,BLUE AND GREY MUSEUM OF NORTH ALABAMA, , ,723 BANK ST NW,DECATUR,AL,35601-1609,35601, , , , , ,2563504018,HTTP://WWW.ALABAMACIVILWARMUSEUM.COM/,BLUE AND GREY MUSEUM OF NORTH ALABAMA,201312,3,34828,34828,723 BANK ST NW,DECATUR,AL,35601-0000,200805, , , , ,-86.98777,34.59053,3,5,1,01,103,723 BANK ST NW,DECATUR,AL,35601-0000,35601,1,0,0,1,0,0,0, 
8400100149,ART,263102385, ,A51, ,712110,WALNUT GALLERY,WALNUT GALLERY INC, , ,534 A WALNUT STREET,GADSDEN,AL,35901-4037,35901, , , , , ,2563282836,HTTP://WWW.WALNUTGALLERY.ORG,WALNUT GALLERY INC,201312,0,0,0,826 WALNUT STREET,GADSDEN,AL,35901-0000,201104, , , , ,-86.01258,34.01135,3,5,1,01,055,826 WALNUT STREET,GADSDEN,AL,35901-0000,35901,1,0,0,0,0,0,0, 
8400100166,HST,272431378, ,A54, ,813219,FAIRHOPE MUSEUM OF HISTORY,FRIENDS OF THE FAIRHOPE MUSEUM OF HISTORY INC, , ,PO BOX 75,FAIRHOPE,AL,36533-0075,36533,24 N SECTION ST,FAIRHOPE,AL,36533-0075,36533,2519291471, ,FRIENDS OF THE FAIRHOPE MUSEUM OF HISTORY INC,201312,1,7074,5738,PO BOX 75,FAIRHOPE,AL,36533-0075,201007, , , , ,-87.9029,30.52517,3,5,1,01,003,24 N SECTION ST,FAIRHOPE,AL,36533-0075,36533,1,0,0,0,0,0,0, 
8400100167,HST,272864769, ,A54, ,712110,SAVING OUR FLYING HERITAGE THROUGH A FLYING MUSEUM,SAVING OUR FLYING HERITAGE THROUGH A FLYING MUSEUM, ,SAVING OUR FLYING HERITAGE THROUGH A FLYING MUSEUM,495BRENDA DR,MADISON,AL,35758-3575,35758,189 BAITES RD,ARDMORE,AL,35758-3575,35758, , ,SAVING OUR FLYING HERITAGE THROUGH A FLYING MUSEUM,201312,0,0,0,495 BRENDA DR,MADISON,AL,35758-1363,201106, , , , ,-86.74156,34.7146,3,5,2,01, ,189 BAITES RD,ARDMORE,AL,35758-3575,35758,1,0,0,0,0,0,0, 
8400100172,ART,273480154,SCHOOL,A25, ,710000,ALABAMA RIVER REGION ARTS CENTER,ALABAMA RIVER REGION ARTS CENTER, , ,300 W TALLASSEE ST,WETUMPKA,AL,36092,36092,PO BOX 1172,WETUMPKA,AL,36092,36092,3345789485,HTTP://WWW.ARRAC.ORG,ALABAMA RIVER REGION ARTS CENTER,201412,0,0,0,PO BOX 1172,WETUMPKA,AL,36092-0020,201101, , , , ,-86.20616,32.59985,3,5,4,01,051,PO BOX 1172,WETUMPKA,AL,36092,36092,1,1,0,0,0,0,0, 
8400100182,HST,311624974, ,A54, ,712110,ALABAMA VETERANS MUSEUM & ARCHIVES,ALABAMA VETERANS MUSEUM & ARCHIVES, , ,PO BOX 549,ATHENS,AL,35612-6500,35612,100 PRYOR ST W,ATHENS,AL,35612-6500,35612,2567717578,HTTP://WWW.ALABAMAVETERANSMUSEUM.COM,ALABAMA VETERANS MUSEUM & ARCHIVES,201407,4,126728,118567,PO BOX 549,ATHENS,AL,35612-0549,199901, , , , ,-86.97072,34.80672,3,5,3,01,083,100 PRYOR ST W,ATHENS,AL,35612-6500,35612,1,0,0,1,0,0,0, 
8400100190,HST,371548000, ,A54, ,712110,FORTSON MUSEUM & ARCHIVES,FORTSON MUSEUM & ARCHIVES, , ,140 BLAIR FARMS RD,ODENVILLE,AL,35120-4412,35120, , , , , , , ,FORTSON MUSEUM & ARCHIVES,201412,0,0,0,13475 US HIGHWAY 411,ODENVILLE,AL,35120-5937,200905, , , , ,-86.40964,33.67461,3,5,4,01,115,13475 US HIGHWAY 411,ODENVILLE,AL,35120-5937,35120,1,0,0,0,0,0,0, 
8400100195,CMU,421680937, ,A52, ,712110,CHILDREN'S MUSEUM OF ALABAMA,CHILDRENS MUSEUM OF ALABAMA, , ,PO BOX 1548,MONTGOMERY,AL,36102-1548,36102,105 TALLAPOOSA STREET,MONTGOMERY,AL,36102-1548,36102,3348322777, ,CHILDRENS MUSEUM OF ALABAMA,201312,3,50286,50286,PO BOX 1548,MONTGOMERY,AL,36102-1548,200511, , , , ,-86.31088,32.38083,3,5,1,01,101,105 TALLAPOOSA STREET,MONTGOMERY,AL,36102-1548,36102,1,0,0,0,0,0,0, 
8400100199,HST,452068398, ,A54, ,712110,ANCIENT AFRICA ENSLAVEMENT AND CIVIL WAR MUSEUM,ANCIENT AFRICA ENSLAVEMENT AND CIVIL WAR MUSEUM, , ,1410 WATER AVE,SELMA,AL,36703-3873,36703, , , , , ,3344184889, ,ANCIENT AFRICA ENSLAVEMENT AND CIVIL WAR MUSEUM,201312,0,0,0,1410 WATER AVE,SELMA,AL,36703-3873,201206, , , , ,-87.01614,32.40797,3,5,3,01,047,1410 WATER AVE,SELMA,AL,36703-3873,36703,1,0,0,1,0,0,0, 
8400100203,HST,454516928, , , ,813219,JESSE OWENS MUSEUM AND PARK,FRIENDS OF THE JESSE OWENS MUSEUM AND PARK, , ,174 COUNTY ROAD 241,MOULTON,AL,35650,35650, , , , , ,2569743636,HTTP://JESSEOWENSMUSEUM.ORG/WORDPRESS1/,FRIENDS OF THE JESSE OWENS MUSEUM AND PARK,201312,0,0,0,174 COUNTY ROAD 241,MOULTON,AL,35650-8663,201209, , , , ,-87.2792,34.53612,3,5,4,01,079,174 COUNTY ROAD 241,MOULTON,AL,35650-8663,35650,1,0,0,0,0,0,0, 
8400100205,SCI,460750517, ,A50, ,712110,COOKS NATURAL SCIENCE MUSEUM,COOKS NATURAL SCIENCE MUSEUM, , ,1741 5TH AVENUE SE,DECATUR,AL,35601-5923,35601,412 13TH ST SE,DECATUR,AL,35601-5923,35601,2563509347, ,COOKS NATURAL SCIENCE MUSEUM,201406,2,18552, ,1741 5TH AVENUE SE,DECATUR,AL,35601-5923,201309, , , , ,-86.98293,34.58039,3,5,1,01,103,412 13TH ST SE,DECATUR,AL,35601-5923,35601,1,0,0,0,0,0,0, 
8400100206,ART,461395428, ,A51, ,712110,MUSTANG MUSEUM OF AMERICA,MUSTANG MUSEUM OF AMERICA, , ,10830 AL HIGHWAY 1,ODENVILLE,AL,35120-4462,35120, , , , , , , ,MUSTANG MUSEUM OF AMERICA,201412,0,0,0,PO BOX 150,MOODY,AL,35004-0150,201402, , , , ,-86.49679,33.57656,3,5,4,01,115,PO BOX 150,MOODY,AL,35004-0150,35004,1,0,0,0,0,0,0, 
8400100207,SCI,462991869, ,A57, ,712110,HOMER B WILSON JR VINTAGE MUSEUM,HOMER B WILSON JR VINTAGE MUSEUM, , ,20524 HWY 431N,GUNTERSVILLE,AL,35976,35976, , , , , , ,HTTP://HOMERWILSONVINTAGEMUSEUM.ORG,HOMER B WILSON JR VINTAGE MUSEUM,201312,0,0,0,20524 HWY 431,GUNTERSVILLE,AL,35976-0000,201311, , , , ,-86.2544,34.40105,3,5,4,01,095,20524 HWY 431,GUNTERSVILLE,AL,35976-0000,35976,1,0,0,0,0,0,0, 
8400100212,NAT,510188791, ,T99, ,712110,MUSANN CORP,MUSANN CORP, , ,PO BOX 1587,ANNISTON,AL,36202-1587,36202, , , , , , , ,MUSANN CORP,201309,4,112334,74908,PO BOX 1587,ANNISTON,AL,36202-1587,197507, , , , ,-85.82646,33.65842,3,5,1,01,015,PO BOX 1587,ANNISTON,AL,36202-1587,36202,1,0,0,0,0,0,0, 
8400100213,ZAW,510193586, ,D11, ,813219,MONTGOMERY AREA ZOOLOGICAL SOCIETY,MONTGOMERY AREA ZOOLOGICAL SOCIETY INC, , ,PO BOX 3242,MONTGOMERY,AL,36109-0242,36109,2301 COLISEUM PKWY,MONTGOMERY,AL,36109-0242,36109,3342404900,HTTP://WWW.MONTGOMERYZOO.COM/,MONTGOMERY AREA ZOOLOGICAL SOCIETY INC,201409,5,516603,502005,PO BOX 3242,MONTGOMERY,AL,36109-0242,197804, , , , ,-86.27306,32.42108,3,5,1,01,101,2301 COLISEUM PKWY,MONTGOMERY,AL,36109-0242,36109,1,0,1,0,0,0,0, 
8400100233,SCI,581962874,PLANETARIUM,A57,015819550,712110,NORTH ALABAMA SCIENCE CENTER,NORTH ALABAMA SCIENCE CENTER INC, , ,102 D WYNN DRIVE,HUNTSVILLE,AL,35805-1957,35805,1435 PARAMOUNT DRIVE,HUNTSVILLE,AL,35805-1957,35805,2568374536,HTTPS://SCI-QUEST.ORG/,NORTH ALABAMA SCIENCE CENTER INC,201312,6,1430797,1406452,1435 PARAMOUNT DR,HUNTSVILLE,AL,35806-2638,199202, , , , ,-86.69326,34.75149,3,5,1,01,089,1435 PARAMOUNT DRIVE,HUNTSVILLE,AL,35805-1957,35805,1,1,1,1,0,0,0, 
8400100240,ZAW,582518635, ,D50, ,712130,MOBILE ZOO,MOBILE ZOO, , ,15161 WARD RD W,WILMER,AL,36587-4011,36587, , , , , ,2516491845,HTTP://WWW.MOBILEZOO.CC,MOBILE ZOO,201312,3,54423,53441,15161 WARD RD W,WILMER,AL,36587-4011,200007, , , , ,-88.39683,30.82633,3,5,4,01,097,15161 WARD RD W,WILMER,AL,36587-4011,36587,1,0,0,1,0,0,0, 
8400100241,ZAW,621231591, ,D50,128975112,712130,BIRMINGHAM ZOO,BIRMINGHAM ZOO INC,ALABAMA ZOOLOGICAL SOCIETY, ,2630 CAHABA RD,MOUNTAIN BRK,AL,35223-1106,35223, , , , , ,2058790409,HTTP://WWW.BIRMINGHAMZOO.COM,BIRMINGHAM ZOO INC,201312,8,10969184,8932428,2630 CAHABA RD,MOUNTAIN BRK,AL,35223-1106,200101, , , , ,-86.77398,33.48437,3,5,2,01,073,2630 CAHABA RD,MOUNTAIN BRK,AL,35223-1106,35223,1,1,1,1,0,0,0, 
8400100247,ART,630459459, ,A51, ,712110,EASTERN SHORE ART ASSOCIATION,EASTERN SHORE ART ASSN INC, , ,401 OAK AVE,FAIRHOPE,AL,36532-2403,36532, , , , , ,2519282228,HTTP://WWW.ESARTCENTER.COM,EASTERN SHORE ART ASSN INC,201405,4,487641,487641,401 OAK AVE,FAIRHOPE,AL,36532-2403,195909, , , , ,-87.90355,30.52659,3,5,1,01,003,401 OAK AVE,FAIRHOPE,AL,36532-2403,36532,1,0,0,1,0,0,0, 
8400100248,HST,630480594, ,A54, ,712110,STURDIVANT HALL MUSEUM,STURDIVANT MUSEUM ASSOCIATION OF SELMA INC, , ,PO BOX 1205,SELMA,AL,36702-1205,36702,713 MABRY ST,SELMA,AL,36702-1205,36702,3348725626, ,STURDIVANT MUSEUM ASSOCIATION OF SELMA INC,201312,5,789462,291156,PO BOX 1205,SELMA,AL,36702-1205,196208, , , , ,-87.02827,32.41279,3,5,3,01,047,713 MABRY ST,SELMA,AL,36702-1205,36702,1,0,0,0,0,0,0, 
8400100254,ART,630631003, ,A51,826690331,712110,GADSDEN MUSEUM OF FINE ARTS,GADSDEN MUSEMUM OF FINE ARTS INC,GADSDEN MUSEUM OF FINE ARTS  INC, ,515 BROAD STREET,GADSDEN,AL,35901-3719,35901, , , , , ,2565467365,HTTP://WWW.GADSDENMUSEUM.COM/,GADSDEN MUSEMUM OF FINE ARTS INC,201403,0,0,0,515 BROAD ST,GADSDEN,AL,35901-3719,197506, , , , ,-86.00513,34.01391,3,5,1,01,055,515 BROAD ST,GADSDEN,AL,35901-3719,35901,1,1,0,1,0,0,0, 
8400100270,SCI,630762151, ,A57,059861880,712110,EXPLORE CENTER,EXPLORE CENTER INC, , ,PO BOX 1968,MOBILE,AL,36633-1968,36633, , , , , ,2513448066,HTTP://WWW.EXPLOREUM.COM,EXPLORE CENTER INC,201309,6,2256563,2185174,PO BOX 1968,MOBILE,AL,36633-1968,197903, , , , ,-88.10646,30.6708,3,5,1,01,097,PO BOX 1968,MOBILE,AL,36633-1968,36633,1,1,1,0,0,0,0, 
8400100279,ZAW,630813173, ,D34, ,712190,ALABAMA WILDLIFE CENTER,ALABAMA WILDLIFE CENTER, , ,100 TERRACE DR,PELHAM,AL,35124-4314,35124, , , , , ,2056637930,HTTP://WWW.AWRC.ORG,ALABAMA WILDLIFE CENTER,201312,4,463192,440703,100 TERRACE DR,PELHAM,AL,35124-4314,198110, , , , ,-86.79516,33.32452,3,5,2,01,117,100 TERRACE DR,PELHAM,AL,35124-4314,35124,1,0,0,1,0,0,0, 
8400100286,HST,630840041, ,A54,171671092,712110,ALABAMA MINING MUSEUM,ALABAMA MINING MUSEUM,ALABAMA MINING MUSEUM, ,120 EAST ST,DORA,AL,35062-4612,35062, , , , , ,2056482442, ,ALABAMA MINING MUSEUM,201409,3,62187,62187,120 EAST ST,DORA,AL,35062-4612,198408, , , , ,-87.09091,33.73169,3,5,4,01,127,120 EAST ST,DORA,AL,35062-4612,35062,1,0,0,1,0,0,0, 
8400100287,HST,630841639, ,A54, ,712110,SELMA-DALLAS COUNTY MUSEUM OF HISTORY AND ARCHIVES,SELMA-DALLAS COUNTY MUSEUM OF HISTORY AND ARCHIVES INC, ,SELMA-DALLAS COUNTY MUSEUM OF HISTORY AND ARCHIVES INC,PO BOX 1391,SELMA,AL,36702-1391,36702,4 MARTIN LUTHER KING STREET,SELMA,AL,36702-1391,36702,3348742197, ,SELMA-DALLAS COUNTY MUSEUM OF HISTORY AND ARCHIVES INC,201409,0,0,0,PO BOX 1391,SELMA,AL,36702-1391,198309, , , , ,-87.01422,32.40885,3,5,3,01,047,4 MARTIN LUTHER KING STREET,SELMA,AL,36702-1391,36702,1,0,0,0,0,0,0, 
8400100290,ART,630844429, ,A51, ,711100,COLEMAN CENTER FOR THE ARTS,COLEMAN CENTER FOR THE ARTS, , ,630 AVENUE A ST,YORK,AL,36925-2604,36925, , , , , ,2053922005,HTTP://COLEMANARTS.ORG/,COLEMAN CENTER FOR THE ARTS,201309,4,199297,199297,630 AVENUE A ST,YORK,AL,36925-2604,198406, , , , ,-88.29437,32.48383,3,5,4,01,119,630 AVENUE A ST,YORK,AL,36925-2604,36925,1,0,1,1,0,0,0, 
8400100295,HST,630868992, ,A54, ,712110,BURRITT MUSEUM,BURRITT MUSEUM ASSOCIATION INC, , ,3101 BURRITT DR SE,HUNTSVILLE,AL,35801-1142,35801, , , , , ,2565362882,HTTP://WWW.BURRITTONTHEMOUNTAIN.COM,BURRITT MUSEUM ASSOCIATION INC,201309,6,1423105,1252295,3101 BURRITT DR SE,HUNTSVILLE,AL,35801-1142,198509, , , , ,-86.53769,34.72003,3,5,1,01,089,3101 BURRITT DR SE,HUNTSVILLE,AL,35801-1142,35801,1,0,0,1,0,0,0, 
8400100301,HST,630881568, ,A54, ,712110,SCOTTSBORO JACKSON HERITAGE CENTER ASSOCIATION,SCOTTSBORO JACKSON HERITAGE CENTER ASSOCIATION, , ,PO BOX 53,SCOTTSBORO,AL,35768-0053,35768,208 SOUTH HOUSTON STREET,SCOTTSBORO,AL,35768-0053,35768, ,HTTP://WWW.SJHC.US/,SCOTTSBORO JACKSON HERITAGE CENTER ASSOCIATION,201409,3,86407,86407,PO BOX 53,SCOTTSBORO,AL,35768-0053,198601, , , , ,-86.03733,34.67179,3,5,3,01,071,208 SOUTH HOUSTON STREET,SCOTTSBORO,AL,35768-0053,35768,1,0,0,0,0,0,0, 
8400100302,CMU,630886689, ,A52,780138699,712110,CHOM INCORPORATED OF TUSCALOOSA COUNTY,CHOM INCORPORATED OF TUSCALOOSA COUNTY, , ,2213 UNIVERSITY BLVD,TUSCALOOSA,AL,35401-1541,35401, , , , , ,2053494235,HTTP://WWW.CHOMONLINE.ORG,CHOM INCORPORATED OF TUSCALOOSA COUNTY,201409,5,611829,600563,2213 UNIVERSITY BLVD,TUSCALOOSA,AL,35401-1541,198603, , , , ,-87.56584,33.21045,3,5,1,01,125,2213 UNIVERSITY BLVD,TUSCALOOSA,AL,35401-1541,35401,1,0,0,0,0,0,0, 
8400100303,ART,630896818, ,A11,037340663,813219,KENTUCK ART CENTER & MUSEUM,THE KENTUCK MUSEUM ASSOCIATION INC,KENTUCK ART CENTER & MUSEUM, ,503 MAIN AVE,NORTHPORT,AL,35476-4483,35476, , , , , ,2057581257,HTTP://KENTUCK.ORG,THE KENTUCK MUSEUM ASSOCIATION INC,201312,4,483757,445388,503 MAIN AVE,NORTHPORT,AL,35476-4483,198506, , , , ,-87.57842,33.21904,3,5,2,01,125,503 MAIN AVE,NORTHPORT,AL,35476-4483,35476,1,0,0,1,0,0,0, 
8400100313,ART,630958800, ,A51,826818403,712110,WIREGRASS MUSEUM OF ART,THE WIREGRASS MUSEUM OF ART INC, , ,PO BOX 1624,DOTHAN,AL,36302-1624,36302,126 MUSEUM AVE,DOTHAN,AL,36302-1624,36302,3347943871,HTTP://WWW.WIREGRASSMUSEUM.ORG/,THE WIREGRASS MUSEUM OF ART INC,201309,5,616447,616447,PO BOX 1624,DOTHAN,AL,36302-1624,198807, , , , ,-85.38911,31.22382,3,5,1,01,069,126 MUSEUM AVE,DOTHAN,AL,36302-1624,36302,1,1,1,0,0,0,0, 
8400100318,ART,630968762, ,A51,132058517,712110,CHOCTAW COUNTY HISTORICAL MUSEUM,CHOCTAW COUNTY HISTORICAL MUSEUM INC, , ,2842 ARARAT ROAD,TOXEY,AL,36921-2167,36921, , , , , ,2518432501, ,CHOCTAW COUNTY HISTORICAL MUSEUM INC,201412,0,0,0,1596 TIMBERLANE RD,BUTLER,AL,36904-2109,201305, , , , ,-88.23785,32.11194,3,5,4,01,023,1596 TIMBERLANE RD,BUTLER,AL,36904-2109,36904,1,0,0,0,0,0,0, 
