fips,name,population,area,age,high_school,bach_degree,adv_degree,unemploy,hh_income,rent,inc_male_15_w,inc_female_15_w,region
26061,Houghton,36192,1009.099,33.1,0.898673441,0.268557719,0.16680779,0.080314148,34174,547,39162,29250,upper
26063,Huron,33642,835.7064,45.7,0.845938375,0.138119954,0.059359038,0.087264878,40038,509,40013,28013,south
26065,Ingham,281365,556.1199,30.9,0.906572472,0.354581409,0.240135253,0.089408678,45808,726,49166,38716,south
26067,Ionia,64651,571.3043,35.9,0.866832093,0.130781047,0.049344204,0.112589152,46454,616,44932,34075,south
26069,Iosco,26422,549.0964,49.7,0.84423833,0.135850388,0.067395907,0.144351267,36861,565,39333,26542,central
26071,Iron,12057,1166.149,50.7,0.882880934,0.150535309,0.072996648,0.074045507,33734,463,36664,25213,upper
26073,Isabella,69451,572.6766,25.1,0.89232716,0.257621074,0.17088462,0.129987582,36880,652,41341,31805,south
26075,Jackson,161569,701.6658,39,0.880209822,0.175389267,0.07104072,0.106385217,46117,678,46043,34626,south
26077,Kalamazoo,247246,561.6585,33.9,0.916950946,0.334279836,0.186888306,0.109025058,44794,675,49847,36584,south
26079,Kalkaska,17400,559.8649,42.5,0.84781893,0.116213992,0.048888889,0.153837044,39350,682,38212,27717,central
26081,Kent,599432,846.9478,34,0.882607506,0.299478509,0.135699124,0.093237663,49532,699,48166,36477,south
26083,Keweenaw,2122,540.1118,50.6,0.908169728,0.219759341,0.110829639,0.077702703,38872,310,37697,30156,upper
26085,Lake,11625,567.3699,48,0.796770335,0.084569378,0.025837321,0.153943377,31205,495,39189,29133,central
26087,Lapeer,89944,643.0135,40.3,0.890952587,0.170033558,0.071784563,0.11478408,55005,680,55555,34310,south
26089,Leelanau,21757,347.1709,48.9,0.927087881,0.394186989,0.217364186,0.080324314,56527,762,49222,35844,central
26091,Lenawee,100911,749.5547,39.4,0.879279146,0.192346485,0.086977158,0.111613817,48618,646,47523,34365,south
26093,Livingston,181350,565.254,39.9,0.936233611,0.311664018,0.128575685,0.086701846,72129,860,66841,43160,south
26095,Luce,6685,899.0784,42.4,0.825597472,0.135097768,0.055698203,0.095714858,40041,541,45855,29720,upper
26097,Mackinac,11281,1021.569,47.1,0.890825036,0.200806069,0.100165955,0.134977169,39339,558,39369,30056,upper
26099,Macomb,837490,479.2235,39.3,0.875542149,0.218489066,0.09514081,0.11691313,53996,752,55743,39615,south
26101,Manistee,24951,542.1492,45.9,0.868982495,0.16750547,0.089332604,0.116395944,40853,627,42443,28623,central
26103,Marquette,66514,1808.401,39.6,0.917212423,0.29710426,0.12970358,0.073936718,45130,548,48128,32049,upper
26105,Mason,28715,495.0729,44.5,0.880739827,0.193686806,0.088976572,0.101245452,40039,616,39783,29274,central
26107,Mecosta,42730,555.0709,33.6,0.876668127,0.201131339,0.114249293,0.141068447,35887,629,41271,31767,south
26109,Menominee,24245,1044.079,45.3,0.892926634,0.134371066,0.048185876,0.099868702,41332,487,42082,29538,upper
26111,Midland,83626,516.2526,39.3,0.91400722,0.322220217,0.177310469,0.090138637,51103,631,53022,37344,south
26113,Missaukee,14962,564.7262,41.8,0.856183327,0.128802845,0.052350849,0.119008264,40376,675,39048,29884,central
26115,Monroe,152784,549.3942,39.2,0.87731343,0.170274326,0.075883443,0.103947859,55366,733,55725,36547,south
26117,Montcalm,63553,705.3994,38.6,0.849583956,0.126852049,0.061399142,0.150878726,39775,618,40218,31018,south
26119,Montmorency,9920,546.6633,51.7,0.839171767,0.105742935,0.062377914,0.165870488,34447,621,41064,29183,central
26121,Muskegon,173223,499.2458,37.5,0.876664609,0.164652968,0.071355499,0.153936545,40670,628,45144,32822,south
26123,Newaygo,48962,813.2039,39.6,0.851747777,0.131916996,0.062747036,0.131993315,43218,608,44418,31838,south
26125,Oakland,1201113,867.6633,39.5,0.922477161,0.422299019,0.240107639,0.091396811,66390,871,70085,47175,south
26127,Oceana,27029,512.071,41,0.827064754,0.142580181,0.073727358,0.090577122,39543,618,40227,29383,south
26129,Ogemaw,21862,563.4875,46.6,0.812796358,0.107289625,0.054182209,0.129901125,35968,585,38952,30041,central
26131,Ontonagon,6976,1311.225,51.8,0.90341834,0.164767589,0.074877916,0.108729909,35269,421,40859,29674,upper
26133,Osceola,23681,566.3913,41.2,0.852207776,0.119025187,0.052697695,0.114860978,38341,533,36997,29564,central
26135,Oscoda,8884,565.7311,48.9,0.805649892,0.089379438,0.033343625,0.151742788,32346,514,39444,27750,central
26137,Otsego,24445,514.9715,42.1,0.892319591,0.194062705,0.084776013,0.110909091,45531,639,44936,26364,central
26139,Ottawa,261376,563.4673,34,0.905121524,0.287914259,0.123185943,0.074741075,55095,726,50285,35487,south
26141,Presque Isle,13697,658.719,50.5,0.853433517,0.143332699,0.062868556,0.126582278,37383,470,36472,29488,central
26143,Roscommon,24932,519.6356,51.8,0.837224955,0.13642247,0.056381051,0.176957831,33542,583,39785,29208,central
26145,Saginaw,202336,800.1136,39,0.865962381,0.179961749,0.078979865,0.125766143,42954,663,46819,34661,south
26151,Sanilac,44010,962.5662,41.4,0.851781298,0.110219905,0.053205,0.1337853,40818,594,40245,28730,south
26153,Schoolcraft,8640,1171.359,47.5,0.865435769,0.1315913,0.053982162,0.096877502,36925,518,46776,31444,upper
26155,Shiawassee,71621,530.6677,39.4,0.892623775,0.149325626,0.072212449,0.111462678,46453,637,44926,33875,south
26147,St. Clair,165719,721.1705,40.2,0.878256285,0.150412425,0.07216329,0.135587024,49120,691,51703,33739,south
26149,St. Joseph,61848,500.591,38,0.842253591,0.140466243,0.065214704,0.135824176,44392,600,42241,30823,south
26157,Tuscola,56543,803.1266,40.7,0.848091683,0.124419151,0.049209001,0.129675058,42198,586,41600,32623,south
26159,Van Buren,76585,607.4742,39.4,0.847957371,0.18294849,0.094217486,0.107785224,44435,572,46037,33443,south
26161,Washtenaw,343947,705.9655,32.8,0.935500851,0.507793864,0.409880922,0.079854869,59065,866,60936,44970,south
26163,Wayne,1870362,612.0801,36.5,0.832475937,0.202428982,0.102347563,0.162086717,42241,759,50646,37584,south
26165,Wexford,32653,565.0018,39.9,0.874300278,0.163791926,0.074819096,0.122296119,39997,624,40052,29706,central
